original,all,units
AIRTEMP_MEAN_150_0_01,tair0150,deg c
AIRTEMP_MEAN_1000_0_01,tair1000,deg c
AIRTEMP_MEAN_2000_0_01,tair2000,deg c
AIRTEMP_MEAN_3000_0_01,tair3000,deg c
AIRTEMP_MEAN_4000_0_01,tair4000,deg c
AIRTEMP_MEAN_5600_0_01,tair5600,deg c
RELHUM_MEAN_150_0_01,rh0150,percent
RELHUM_MEAN_5600_0_01,rh5600,percent
DEWPT_MEAN_150_0_01,dewpt0150,deg c
DEWPT_MEAN_5600_0_01,dewpt5600,deg c
SATVAPAIR_MEAN_150_0_01,satvap0150,mb
SATVAPAIR_MEAN_5600_0_01,satvap5600,mb
SATVAPDEW_MEAN_150_0_01,satvapdew0150,mb
SATVAPDEW_MEAN_5600_0_01,satvapdew5600,mb
VPD_MEAN_150_0_01,vpd0150,mb
VPD_MEAN_5600_0_01,vpd5600,mb
WDIR_SNC_MEAN_150_0_01,winddir0150,degree
WDIR_SNC_MEAN_5600_0_01,winddir5600,degree
WDIR_SNC_STDDEV_5600_0_01,winddir.sd.5600,degree
WDIR_SNC_STDDEV_150_0_01,winddir.sd.0150,degree
WSPD_SNC_MEAN_150_0_01,windspeed0150,m s-1
WSPD_SNC_MEAN_5600_0_01,windspeed5600,m s-1
LW_MEAN_150_0_01,lw0150,mV
LW_MEAN_1000_0_01,lw1000,mV
LW_MEAN_2000_0_01,lw2000,mV
LW_MEAN_3000_0_01,lw3000,mV
LW_MEAN_4000_0_01,lw4000,mV
LW_MEAN_5600_0_01,lw5600,mV
SOILTEMP_MEAN_0_10_01,tsoil10,deg c
SOILTEMP_MEAN_0_100_01,tsoil100,deg c
SOILTEMP_MEAN_0_20_01,tsoil20,deg c
SOILTEMP_MEAN_0_50_01,tsoil50,deg c
SOILWC_MEAN_0_10_01,wcsoil10,fraction
SOILWC_MEAN_0_100_01,wcsoil100,fraction
SOILWC_MEAN_0_20_01,wcsoil20,fraction
SOILWC_MEAN_0_50_01,wcsoil50,fraction
